Noisinh,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Mon1,Mon2,Mon3,Mon4,Mon5,KQ
Tỉnh Đắk Lắk,7.5,7.5,7.3,6.8,5.0,6.0,7.0,7.7,5.0,6.3,6.0,1
Tỉnh Đắk Lắk,7.7,6.5,6.7,5.3,5.5,7.0,6.0,6.0,5.5,6.0,6.5,1
Thành phố Hồ Chí Minh,6.4,6.0,7.3,6.8,6.0,9.0,7.3,6.8,5.3,6.0,6.8,1
Tỉnh Tây Ninh,7.3,5.5,8.5,7.0,5.5,6.8,8.0,6.0,5.3,6.8,5.0,1
Tỉnh Bình Phước,2.0,7.7,2.4,5.0,5.0,5.0,6.0,4.5,5.5,5.3,6.0,1
Tỉnh Bình Dương,6.4,4.8,8.1,6.8,5.5,6.0,5.0,4.8,5.8,5.0,5.8,1
Tỉnh Bình Phước,6.3,5.0,7.3,5.7,0,3.8,5.0,5.3,5.5,0,6.8,0
Tỉnh Bình Dương,7.3,6.4,6.6,6.8,5.5,6.8,7.8,5.0,5.3,5.3,6.0,1
Tỉnh Tây Ninh,5.5,2.0,6.8,5.0,5.0,5.5,5.8,3.8,5.0,5.0,5.0,1
Tỉnh Hải Dương,7.5,6.0,8.1,6.3,7.0,6.0,7.0,5.8,6.5,7.5,8.5,1
Tỉnh Long An,7.7,6.5,6.4,5.3,5.5,8.8,5.5,5.5,5.0,5.8,7.3,1
Thành phố Hồ Chí Minh,8.3,9.3,8.7,5.9,5.0,7.8,8.3,7.3,6.8,7.3,6.8,0
Tỉnh Bình Dương,7.5,6.4,8.1,6.4,5.5,6.0,7.8,5.8,5.3,6.3,7.0,1
Tỉnh Quảng Ngãi,7.6,5.0,8.0,5.2,5.5,9.0,5.0,5.5,5.3,6.0,6.3,1
Thành phố Hồ Chí Minh,7.3,6.2,8.5,5.3,6.0,7.0,5.5,6.0,5.0,6.3,5.8,1
Tỉnh Thanh Hóa,7.5,6.8,8.5,5.8,5.0,5.3,6.5,6.3,5.8,5.1,6.3,1
Tỉnh Bình Dương,8.0,8.8,8.1,6.2,0,7.0,8.0,7.3,7.0,6.1,6.3,1
Thành phố Hồ Chí Minh,7.0,8.0,5.0,5.3,7.5,5.5,5.9,8.7,7.8,6.18,7.2,1
Tỉnh Bình Dương,6.0,7.8,5.8,5.3,7.1,5.5,7.5,6.7,5.0,5.30,7.3,1
Tỉnh Tây Ninh,7.0,7.0,5.4,5.0,6.1,5.5,5.8,5.0,7.5,5.99,7.3,1
Tỉnh Bình Dương,5.0,6.8,5.5,5.1,6.1,5.0,7.6,5.3,7.0,5.91,7.8,1
Tỉnh Bình Dương,5.3,6.8,5.1,5.2,7.3,5.0,6.8,5.3,7.8,5.89,7.2,1
Tỉnh Bình Dương,5.5,0,5.0,5.3,7.5,0,6.8,6.3,5.0,5.76,7.5,1
Tỉnh Quảng Bình,7.8,6.8,5.9,5.3,7.1,9.0,7.3,5.9,8.0,6.23,7.5,1
Tỉnh Bắc Ninh,0,6.0,5.0,5.0,6.9,5.0,2.1,1.8,5.8,5.77,8.2,0
Tỉnh Bình Dương,6.0,7.3,5.9,5.0,6.1,5.5,7.7,6.0,7.5,6.01,8.2,1
Tỉnh Bình Dương,5.0,6.5,5.0,6.2,7.3,5.0,5.3,5.0,7.5,5.77,8.2,1
Tỉnh Bình Dương,7.9,7.3,7.0,6.0,5.5,8.0,7.4,6.1,9.3,6.67,8.1,1
Tỉnh Bình Dương,6.3,7.0,5.4,6.0,6.1,5.0,5.5,5.0,7.8,6.13,7.8,1
Tỉnh Bình Dương,5.5,6.5,0,5.0,7.5,5.5,7.6,6.1,6.5,5.58,6.9,1
Tỉnh Bình Dương,5.3,6.5,6.3,5.8,5.8,6.5,7.7,5.3,6.0,5.86,8.4,1
Thành phố Hà Nội,6.5,7.3,5.0,5.2,7.3,5.0,8.5,6.8,5.0,6.46,8.2,1
Tỉnh Bình Dương,8.5,7.3,5.9,5.5,7.1,6.0,7.5,6.6,7.0,6.28,7.7,1
Tỉnh Bình Dương,7.4,6.8,5.0,5.0,7.5,7.0,7.2,5.0,8.3,6.31,8.4,1
Tỉnh Bình Dương,5.8,8.0,6.0,5.5,7.5,7.0,6.6,5.2,7.5,6.44,7.7,1
Tỉnh Bình Dương,5.7,7.3,6.5,6.5,7.5,8.0,6.7,5.1,9.0,6.55,7.1,1
Thành phố Hồ Chí Minh,5.0,7.0,7.1,7.3,7.1,5.0,7.2,5.2,5.9,5.86,6.8,1
Tỉnh Đồng Nai,5.3,6.8,5.4,5.8,9.0,6.0,7.2,6.1,6.5,6.04,7.6,1
Tỉnh Bình Dương,5.0,7.0,5.0,3.8,5.8,7.5,6.6,6.5,6.3,5.55,6.9,0
Tỉnh Bắc Giang,3.8,7.5,6.6,5.0,6.9,9.0,8.0,5.0,0,1.52,7.0,0
Tỉnh Tiền Giang,5.0,6.0,5.1,5.3,5.0,5.0,7.0,6.3,7.3,6.34,7.3,1
Tỉnh Nam Định,0,5.0,0,1.8,6.9,5.0,2.1,0,5.3,4.61,1.2,0
Tỉnh Thanh Hóa,5.0,6.8,5.8,5.0,6.1,5.5,6.3,5.1,8.0,6.23,6.4,1
Tỉnh Đồng Nai,7.3,7.0,5.4,6.8,7.1,6.0,7.7,8.8,6.5,5.43,6.3,1
Tỉnh Bắc Ninh,5.8,7.0,6.5,5.8,7.5,8.3,7.0,5.0,7.5,5.97,7.4,1
Tỉnh Bình Phước,6.7,7.5,5.5,6.3,6.9,5.5,6.8,7.5,7.0,5.77,7.3,1
Thành phố Hồ Chí Minh,5.3,5.8,0,6.3,8.3,6.5,3.8,8.0,6.0,5.0,7.0,0
Tỉnh Bình Dương,5.3,6.5,0,5.3,8.0,3.0,4.5,0,3.8,7.5,5.8,1
Thành phố Hồ Chí Minh,5.0,5.0,0,4.3,5.8,5.0,5.0,5.0,5.0,3.3,5.1,0
Thành phố Hồ Chí Minh,6.0,6.5,0,5.0,7.8,7.1,8.0,5.8,5.1,8.0,5.2,1
Thành phố Hồ Chí Minh,7.5,5.3,0,0,8.3,7.3,0,6.9,2.5,3.0,7.2,0
Tỉnh Thanh Hóa,6.0,5.0,0,7.8,8.5,6.0,7.3,7.8,6.0,6.0,6.0,1
Tỉnh Quảng Nam,6.3,7.3,0,9.3,8.5,5.5,7.8,8.0,6.0,7.3,6.4,1
Tỉnh Gia Lai,5.8,7.0,0,7.0,7.8,5.0,5.3,6.0,5.5,8.5,7.7,1
Tỉnh Phú Yên,6.3,5.3,0,5.3,7.5,1.3,5.0,2.8,0,5.5,4.4,0
Tỉnh Đắk Lắk,6.0,7.3,0,5.5,7.8,7.0,5.5,6.0,6.1,5.8,5.4,1
Tỉnh Đắk Lắk,6.5,5.8,0,8.3,7.0,6.8,6.3,5.0,5.8,5.3,6.4,1
Tỉnh Lâm Đồng,7.8,6.0,0,9.5,7.5,7.5,6.5,7.5,6.8,7.5,7.0,1
Tỉnh Bình Phước,6.0,6.3,0,5.5,7.8,6.5,5.5,5.8,5.8,8.6,6.0,0
Tỉnh Bình Phước,6.3,6.3,0,8.3,9.5,4.0,8.5,7.8,6.0,6.3,6.3,1
Tỉnh Bình Phước,7.3,7.3,0,8.5,7.3,8.3,6.8,8.0,5.5,7.9,5,0
Tỉnh Bình Phước,6.5,7.0,0,8.3,8.5,7.3,7.0,6.3,6.2,6.0,6.3,1
Tỉnh Quảng Nam,6.3,7.0,0,7.5,7.3,6.8,6.0,8.0,5.1,6.0,5.4,1
Tỉnh Bình Phước,5.8,7.2,0,5.0,7.5,7.3,8.5,8.8,7.5,6.0,6.0,1
Tỉnh Bình Phước,6.0,5.5,0,6.5,7.5,8.8,6.0,6.3,0,5.8,5.3,1
Tỉnh Bình Phước,5.8,5.0,0,6.8,8.5,6.0,6.3,3.0,6.0,8.0,5.7,1
Tỉnh Bình Phước,6.5,5.3,0,8.0,8.0,3.8,0,5.0,4.5,5.5,5.14,0
Thành phố Hồ Chí Minh,6.0,6.3,0,8.8,9.3,8.3,8.3,8.5,6.0,7.5,6.5,1
Tỉnh Bình Dương,7.8,7.5,0,8.8,7.8,4.8,8.3,8.3,6.0,7.3,8.2,1
Tỉnh Bình Dương,7.5,6.3,0,9.0,7.0,7.3,7.9,8.3,6.8,8.5,6.8,1
Tỉnh Bình Dương,6.5,6.3,0,7.8,7.0,7.3,5.1,7.0,6.5,7.0,5.4,1
Tỉnh Bình Dương,6.5,5.5,0,6.0,8.3,7.0,5.0,5.0,6.7,5.3,6.7,1
Tỉnh Bình Dương,4.3,5.0,0,0,5.3,0,3.0,0,6.0,0,6.3,0
Tỉnh Bình Dương,6.8,6.3,0,8.5,9.0,8.8,7.8,9.7,6.0,9.0,7.8,1
Tỉnh Bình Dương,7.3,5.8,0,9.0,9.0,8.8,6.0,7.3,5.5,6.8,8.7,1
Tỉnh Bình Dương,5.8,5.8,0,6.3,8.5,6.3,8.0,5.1,5.5,5.5,6.9,1
Tỉnh Bình Dương,6.0,6.5,0,6.3,6.5,6.5,7.0,9.3,5.5,3.4,5.8,1
Tỉnh Thanh Hóa,6.8,7.0,0,6.5,9.0,6.0,8.5,9.3,4.8,5.7,5.3,1
Tỉnh Bình Dương,7.3,7.3,0,8.5,8.0,5.9,5.8,8.3,5.3,5.5,3.3,1
Tỉnh Bình Dương,7.0,6.8,0,5.0,7.3,5.4,5.3,5.3,6.5,5.2,6.5,1
Tỉnh Thanh Hóa,5.5,6.5,0,5.3,6.5,6.0,7.0,5.9,5.3,3.4,7.0,1
Tỉnh Bình Dương,6.0,5.5,0,3.8,6.5,5.9,0,6.2,3.8,5.0,4.5,0
Tỉnh Nghệ An,6.0,7.0,0,8.0,5.0,6.3,7.5,7.8,3.5,5.2,3.8,1
Tỉnh Bình Dương,7.0,7.5,0,9.5,7.5,5.9,7.3,6.9,5.5,5.8,3.3,1
Tỉnh Kiên Giang,7.3,7.0,0,8.8,8.3,6.5,6.7,7.0,7.5,6.5,8.0,1
Tỉnh Bình Dương,6.0,5.5,0,7.5,8.3,6.3,8.0,8.5,0,5.9,2.5,0
Tỉnh Đồng Tháp,7.3,6.8,0,8.3,7.8,5.3,9.2,9.0,5.5,8.7,9.5,1
Thành phố Hồ Chí Minh,5.8,5.3,0,6.5,6.8,5.5,6.5,5.6,5.0,5.3,0,0
Tỉnh Kiên Giang,6.3,5.8,0,4.5,8.0,5.3,6.5,5.0,3.5,5.0,4.5,0
Thành phố Hồ Chí Minh,6.8,6.5,0,7.5,8.0,5.0,7.0,5.8,7.0,5.4,6.8,1
Thành phố Hồ Chí Minh,7.5,6.0,0,8.3,7.3,7.8,9.5,9.5,6.8,5.2,7.3,1
Tỉnh Bình Dương,5.3,5.0,0,2.3,6.8,5.9,0,6.3,6.3,5.0,0,0
Thành phố Hồ Chí Minh,6.5,6.3,0,5.8,8.5,7.4,8.5,9.5,5.0,7.5,6.8,0
Tỉnh Thái Bình,5.0,5.5,0,5.0,5.0,4.3,0,0,8.0,0,6.5,0
Tỉnh Bình Dương,5.8,6.0,0,5.5,7.0,6.2,6.8,6.0,5.5,4.8,7.5,1
Tỉnh Thừa Thiên Huế,6.3,5.5,0,5.0,6.3,6.8,0,5.0,7.5,0,7.0,0
Tỉnh Bình Dương,5.8,5.0,0,8.3,8.0,7.5,8.5,8.0,0,5.6,6.8,0
Tỉnh Bình Dương,6.5,6.8,0,8.0,6.8,5.5,7.3,5.3,4.5,5.2,7.3,1
Thành phố Hồ Chí Minh,6.5,5.8,0,7.3,6.8,5.4,7.8,6.0,7.3,5.1,7.0,1
Thành phố Hồ Chí Minh,5.8,7.0,0,7.3,7.3,6.0,8.5,6.3,6.3,5.7,7.5,1
Thành phố Hồ Chí Minh,6.0,5.8,0,5.0,5.0,5.3,0,5.8,0,0,7.5,0
Tỉnh Bình Dương,5.5,6.8,0,3.8,5.5,5.4,6.0,5.3,8.0,5.3,7.3,1
